PRODUCT_CATEGORY,REVIEW_TEXT,SAMPLE_TYPE
Camera,The Nikon D3200 is a great value for the money.  I have been using it for about 3 months now and love that it comes with an interchangeable lens.,GUIDED
Home Entertainment,Attended this show for a very long time.  I have watched many of the shows and movies that were based on real life experiences.  This show is one of those shows where you can create your own story.,NON-GUIDED
Video DVD,"My Kid likes to watch movies on blu-ray.  I have not seen the Blu-Ray version of this movie, but it is a good one for me. The first few scenes are just plain cheesy and boring.",GUIDED
Automotive,"Booked this car for my son and he loves it.  It has a lot of features, but I have not had any problems with it at all.  The steering wheel is very easy to set up as well.",NON-GUIDED
Baby,"Apart from that, this is a very good product.  I love the color and look of it.  It's not too big or bulky to carry with me in my purse.  The colors are so vibrant you can't see them unless you're wearing an adult sized dresser. The only thing i didn't like was how long it would take for your baby to get used to it.",NON-GUIDED
Video DVD,A great DVD.  I bought it for my son and he is very happy with the quality of the movie.  He also enjoys watching movies on blu-ray.,GUIDED
Baby,"When I was a little kid, my parents would go out and buy some of these.  They didn't know what to expect but they loved it! They are very easy to put together. I am 5'1&#34; and weigh 205 lbs so this is perfect for smaller babies that don't have big mouths.  It's also great for small babies who do not have large mouths.  My mom uses them as an ottoman with her hand in the front when she sees things (like baby food) on the go.  She doesn't want to be left scratching her face all day trying to figure out how to get rid of those pesky scum marks.  If you're looking for a good way to keep your child from scratching your face every now and then, this might be the best option.",NON-GUIDED
Beauty,Got this as a Christmas gift for my husband.,NON-GUIDED
Apparel,Here's the reason why I bought this item: 1.  It is very cheaply made. 2.,GUIDED
Kitchen,"I bought this for my husband and he loves it.  He has been using it all the way to the kitchen, which is a huge plus.",GUIDED
Camera,"Our son loves this camera.  It's a great value for the money.  We've used it several times before and have never had any issues. Pros:<br />- Easy to set up<br />- Built in battery life<br />- A little scratch resistant, but good enough to last longer than an hour<br />- Plenty of power<br />- Battery life is amazing<br />- The only thing I don't like about this camera is that you can no longer turn on the shutter release button when changing modes without having to press the shutter release button every few seconds! Cons:<br />- There are so many functions/features out there (e.g. recording videos from your phone or tablet) that you cannot really figure out how to program them all yourself.",NON-GUIDED
Home Entertainment,Do not buy this product unless you are willing to spend a lot of money on it.,NON-GUIDED
Home Entertainment,"Excellent picture quality and sound.  I've had no problems with this unit, but it's worth every penny. Pros:<br />- Easy to set up<br />- Built in remote<br />- Bluetooth 4.",GUIDED
Lawn and Garden,"This is something I have been wanting for a while.  It seems to be working well, but it's not as good as the picture shows.",GUIDED
Home Entertainment,"It's a must have for any gaming fan.  This game is so much better than most of the other games out there. There are tons of different ways you can customize this game to your liking.  For example: 1) You can choose from 3 outfits, each with their own unique costume. 2) Each outfit has its own special ability called ""Altogether"" which allows you to change outfits in order to add more outfits. 3) If you want to play as an assassin or someone who wants to be stealthy (or at least that's what I'm talking about here), go ahead and buy one [[ASIN:B00QI7R6U Game Boy Advance - Black Ops III]].  The character designs are very similar to those shown in the previous review.",NON-GUIDED
Lawn and Garden,"after a while, we decided to try something new.  This is one of the best products I've ever used.",GUIDED
Luggage,Excellent briefcase with a great deal of room to spare.,GUIDED
Camera,"Just got this camera today and I am very happy with it. It is easy to set up, great value for the money. The only thing i don't like about it is that you have to go through a lot of hoops to get it to work.",NON-GUIDED
Musical Instruments,"Before I got started playing, the first thing I wanted to do was make sure my instrument was on time.  After about a month of use, I decided to give it a try. I am very pleased with this purchase! The sound is crisp and clear from start to finish.  There are no wobbles or cramps that bother me at all.  My only complaint is that there isn't much bass in between sounds.  It's just not what you would expect from an instrument like this.  For now, though, I will be buying another pair of these for later use.",NON-GUIDED
Automotive,"Washer works great.  I have a Ford F-250 and this is the first time it has been used on my truck.  The auto parts are very easy to assemble. Pros:<br />1) Easy assembly<br />2) Solid construction<br />3) Does not take up too much space<br />4) Looks nice<br />5) Works well<br />Cons:<br />1) It takes up too much space<br />2) Doesn't feel as sturdy as some of the other trucks that come with it, but you can easily get rid of those by putting them in your cargo compartments (or something like that).",NON-GUIDED
Baby,"Attended this for the first time since I was a little kid.  We have been using it on our 3 year old son and he loves to play with it.  It is easy to set up, keeps his eyes closed at all times so that we can keep him from getting too caught up in any situation.",NON-GUIDED
Home Entertainment,"There are already 156 games in the series.  The most recent game was Call of Duty: Black Ops II, which came out on May 4, 2014. The only reason I gave this game 5 stars is that it does not have a multiplayer mode.",GUIDED
Health & Personal Care,"Sometimes it's hard to find a good hygienic product in the grocery store, but this one is so darn good.  It has an excellent hygienic feature that I can't wait to use it on my next trip. Pros:<br />- Provides great hygienic support for those with cystic fibrosis (mystic fibrosis) and/or other types of conditions such as Crohn's or Lou Gehrig's disease who don't need hygienic support. Cons:<br />- Doesn't have hygienic properties like some others.",NON-GUIDED
Video DVD,"We've been using this for over a month now and it's working fine. The sound is great, I'm very happy with the quality of the audio so far. I would recommend this to anyone looking for an inexpensive DVD player or if you're looking for something that will make your home theater system more portable.",NON-GUIDED
Video DVD,"After a few months of use I decided to give this one a try.  It is very well made and the sound quality is excellent. I have been using it for about 2 years now with no problems.  The only thing that keeps me from doing is watching movies on my computer, so I am not sure if there are any issues other than that. Pros 1.  Very good sound Quality 2.  Great Features 3.  Easy Setup 4.  Excellent Sound Quality Cons 5.",NON-GUIDED
Musical Instruments,"This instruments are very good sounding.  I have not had any problems with it, but the sound quality is great.  It's easy to set up and play without having to use a keyboard.",GUIDED
Video Games,"Often times when I'm playing video games, I find myself constantly looking for new ways to make my living.  This game is simple and easy to use.  There are a few things you will need to know about this game: 1. You have to figure out how to hook up your phone. 2. It comes with the remote. 3. The buttons are very small (about 1/4&#34;) so it can't be used as an input device. 4. If you want to turn off the power button after several minutes of play, that's fine. 5. Press the &#34;+alt-click&#34; button at the top of the screen in order to activate the feature. 6.",NON-GUIDED
Baby,"I went to the store and found these.  They were a little too large for me, but I was able to fit them in my hand without being too big or too small.",GUIDED
Office Products,"Did a lot of research on the use of this product.  I found that it was more effective for people with dementia than other types of dementia medications. I have tried many different products, but none seem to work as well in my daily routine.",GUIDED
Jewelry,"Good quality and good price.  I was looking for a jewelry piece that would be easy to find in the local stores.  However, this item is not &#34;made in China&#34; so it does not meet my expectations. The only reason I didn't give it 5 stars is because of the color.  It's hard to see how you can get what you pay for but if you are going to spend your money on something like this or any other jeweler who cares enough to think about buying an expensive piece from someone else.",NON-GUIDED
Luggage,"How to carry it.  The only thing I would say is that there are a few things you can't do with this luggage.  For example, the handle on the back of the suitcase doesn't hold up very well.  It's difficult to get in and out of the suitcase so don't waste your time.",NON-GUIDED
Home Entertainment,"I'm not a big fan of video games, but I've been very happy with this game.  The graphics are beautiful and the story is well developed.  If you're looking for an entertainment experience that can't only be enjoyed by kids or adults, this is it! Pros:<br />1. You play as a character(s) from another world.<br />2. It's difficult to find your way into certain areas.<br />3. There aren't many levels at all.<br />4. Each level has its own challenges.<br />5. Some enemies have different abilities.<br />6. Every time you try to move in one direction (i.e., forward/backward facing), they will get stuck trying to make you jump out of the room.<br />7. They don't take too long to come across if you fall over.<br />8.",NON-GUIDED
Video DVD,"This was a gift for my husband and he loves it.  He is very happy with the quality of the sound, as well as the price.",GUIDED
Baby,"While I don't know how long they will last, it's been a great gift for my daughter and she loves to play with it.",NON-GUIDED
Apparel,I love them.  I ordered a size smaller than what was pictured and it looks great on the inside.,GUIDED
Kitchen,You can absolutely do everything you need to cook food.  This is one of the best kitchen utensils I've ever used.  It's super easy to put together and has a lot of room for all kinds of items.,GUIDED
Health & Personal Care,I got these batteries for my husband and he is very happy with them.,GUIDED
Books,It's a good book for those of us who want to learn more about the world around us.,NON-GUIDED
Tools,"As posted above, these are very well made.  They're easy to use and have a good feel to them.  I'm sure they will last for quite some time.",GUIDED
Lawn and Garden,A wonderful gift for my daughter.,GUIDED
Beauty,"I am using this for my wedding dress.  It is very comfortable and does not look like a lot of the other brides I have used in the past.  The color is beautiful, but it doesn't match with any of the other brides I have tried.",GUIDED
Jewelry,"Beautiful and very well made.  I am not a big fan of jewelry stores, but if you are looking for something to decorate your home, this is the way to go! I would highly recommend this Jewelry!.",NON-GUIDED
Lawn and Garden,individually wrapped.  They are very easy to put together.,GUIDED
Grocery,"Even though I'm not a big fan of cheddar cheese, this is my favorite. It's crunchy and tastes like the real thing. I've had it for about two months now and am very happy with it. The taste is just right! Pros: - Easy to clean<br />- Crisp<br />- Hard to find in grocery stores<br />- Smooth texture Cons: - Unsatisfyingly small (about 1/4&#34;)<br />- Doesn't hold up well at all Bottom Line: If you're looking for a good cheeseburger that can be enjoyed without being too hard on your body, Cheddar cheese isn't what you'd expect from a regular cheddar cheese grater.",NON-GUIDED
Electronics,"Great product for the price.  I have been looking for a speaker that is easy to use, works great and has very good sound quality.",NON-GUIDED
Camera,The Nikon D3D is a great value.  I have been using it for over a year now and love the fact that this camera has a built-in auto focus feature.,GUIDED
Home Improvement,Works great!  I am very happy with this product.  It is easy to set up and operate without any issues.,GUIDED
Pet Products,"I got this for our 7 year old son and he loves it.  He is very picky about the materials, but I am not a big dog fan of pet products.  It was easy to put together with no effort. The instructions are pretty straightforward: 1.",GUIDED
Pet Products,"Firstly, let me start by saying that this product is not for the faint of heart.  I have been using it for over a year now and am very happy with my purchase. I would highly recommend this product to anyone looking for a high quality pet food product.",NON-GUIDED
Luggage,Very happy with this item.  I am very pleased with the quality of the product.  It arrived in a timely manner and was packaged well.,NON-GUIDED
Grocery,"Guys, I ordered this because it was a gift for my husband and he loved it.  It is very easy to use.",NON-GUIDED
PC,"Apart from that, this game is great. There are so many different ways to customize your character. The graphics are very good and the story is a bit more complex than I thought it would be. It's hard to figure out how you will react to certain situations or what happens when you try to kill someone (like some characters in the other games). I really don't like the idea of having to choose between killing an enemy or trying to get rid of his/her favorite character...it just doesn't make any sense for me at all.  The only reason I didn't give it 5 stars is because there aren't many options on the menu which makes it difficult to find those.",NON-GUIDED
Camera,"I'd recommend this camera to anyone looking for a DSLR.  It's very good quality, easy to use and works well with everything I need it to do. Pros:<br />- Built in memory (up to 32GB)<br />- USB 3.",NON-GUIDED
PC,"Washer works great.  The only thing I would change is that it has a small hole in the middle to allow more air flow through. Pros:<br />- Easy to use and easy to set up<br />- Simple to read instructions<br />- Excellent price<br />- Highly recommend for anyone who wants to learn how to operate your PC from scratch<br />Cons:<br />- Hard to find on amazon<br />- Doesn't seem to be as well made as some of the other pc makers out there If you are looking for an inexpensive way to store your computer, this may not be the case...",NON-GUIDED
Sports,"Firstly, let me start by saying that I am not a professional golfer.<br />I have never seen anything like this before. This is the first time in my life it has been used as a backdrop for all my golfing paraphernalia and even more so than any other piece of equipment I have ever owned. The second thing I would like to point out is that if you are looking for something very different from an amateur golfer or someone with similar skill level they will definitely be able to take on such a huge amount of heavy lifting without resorting to brute strength techniques. You can't go wrong with this product at all! If you are looking for something totally different from an amateur golfer then look no further. If you are looking for something completely different from an amateur golfer then look no further.",NON-GUIDED
Sports,"Nice Powder horn.  The only reason I didn't like it is because of the price.  It's hard to get used to, but if you have a good powder horn then this will be great for you.",GUIDED
Shoes,These are great.  I am 5'3&#34; and weigh 205 lbs.<br />I bought them for my son because he is 6'6&#34; and weighs 200 lbs.,GUIDED
Beauty,"Via the Amazon page.  I ordered this for my husband and he loves it! It is very simple to put together, make sure you have a good hand-held utensil (I don't know if that's what they're talking about).",GUIDED
Health & Personal Care,"Firstly, I am very pleased with this product.  It is well made and has a lot of room to store all my medicines. I have been using it for about 2 weeks now without any problems or side effects.  My only complaint is that the bottle doesn't seem to hold up at all.",NON-GUIDED
Tools,I'm not sure if this is worth the money but it's a good product.  I don't want to waste my time trying to figure out how to use all of the different tools that are available on the market.,NON-GUIDED
Lawn and Garden,"This little guy works great.  He has a lot of plants growing in his garden, but he doesn't seem to mind them all.",GUIDED
Automotive,"Even though I am a car mechanic, this is my first time using it.  It has held up well over the past few months with no problems. I have been looking for an auto repair tool that will be able to hold all types of cars and trucks together without having to worry about anything being broken or anything else going on in the process. The only complaint I have is that there are not enough screws/screws around to hold any type of machinery (cars, motorcycles, etc.",NON-GUIDED
Beauty,"Arrived quickly and was exactly what I needed.  My only complaint is that it doesn't come with a cord, so if you don't have an outlet this will not work for you.",NON-GUIDED
Luggage,It looks as it should be.  It arrived on time and I'm very pleased with the quality of the product.,GUIDED
Books,My 2 daughters love this book.  I read it as a Christmas present for my daughter and she is very happy with it.  The characters are beautiful and the story is well written.,GUIDED
Camera,I was looking for a camera that would capture all kinds of rain and snow.  This is the one I wanted.,GUIDED
PC,"If you are looking for a high quality product, this is it.  I have had no problems with it so far and am very happy with my purchase.",NON-GUIDED
Grocery,Very good for a very reasonable price.  I had to return it and replace it with something else.,GUIDED
Health & Personal Care,"Rude, this product is exactly what I was looking for. I have been using it all the time. It has a lot of room in my bathroom and can be used as a bath mat if you want to put your hands on something that would help with weight loss. The only thing I don't like about this product is how hard it is to set up... It took me several days to figure out everything! The instructions were easy to follow but they are very helpful when you need to make sure things are done quickly so there isn't going to be any confusion at all between different parts.",NON-GUIDED
Automotive,"I bought this product to replace a broken one that had been left in the car for several months.  I have not used it yet, but if you are looking for an auto repair tool or something like that, feel free to contact me and let me know what you think.",GUIDED
Automotive,"Even though it is a little bit of a novelty, I was pleasantly surprised at the quality of this product.<br />I have been looking for an auto repair kit to replace my old Ford Explorer.  This one has plenty of room and enough power to run all kinds of electrical appliances (cars, motorcycles, etc.) There are many different types of tools that can be used in conjunction with this particular kit. Tools included include:<br />#1 Power strip(s)<br />#2 Lanyard screw driver/clamp on front or rear axle<br />#3 Phillips head bolts - 1/4&#34; off-axis torque converter set<br />#4 Nalgene hex head bolts - 1/4&#34; &#34; bolt length adjusters - 1/4&#34; which allows you to adjust the torque without having to do so.",NON-GUIDED
Luggage,I am sick of having to carry my luggage around the world.  I travel a lot and this bag is perfect for that.,GUIDED
Pet Products,For 30 or 40 dollars a box is the best.  They are very durable and easy to use.,GUIDED
Pet Products,I bought this for my 7 year old son.  He loves it and I would recommend it to anyone with allergies.,GUIDED
Sports,"Here's my advice: If you are looking for a sportswear that will last forever, look no further.  You won't be disappointed with this product or any of the other products I have tried. If you are looking for a sportswear that will last forever, look no further.  You won't be disappointed with this product or any of the other products I have tried. If you are looking for a sportswear that will last forever, look no further.  You won't be disappointed with this product or any of the other products I have tried. If you are looking for a sportswear that will last forever, look no further.",NON-GUIDED
Home Entertainment,I purchased from Walmart and it was a great deal.  I have never been disappointed with this product.,GUIDED
PC,"Just got this for my wife and she loves it.  It is very easy to put on and off so you have the option of changing your settings, or just setting up a TV remote.",NON-GUIDED
Home Improvement,"Wells products are easy to set up and operate.  My only complaint is that the &#34;wings&#34; on the front of the unit don't cover the entire length of the battery. The first thing I noticed was how much more difficult it would be to remove the batteries than using a power strip or screwdriver.  This resulted in me having to use an electrician's wrench instead of taking care of the whole unit.  The second thing I noticed was that my hands didn't line up with each other at all, so if you had your hands full (which included hand tools) then there wouldn't be any problem. I am not going to go into too much detail about what this means but for those who have experienced some sort of “accident”(i.e.",NON-GUIDED
Electronics,Got this as a gift for my son and he loves it.  It's very easy to set up. I will be ordering more of these in the future.,GUIDED
Automotive,"This is a great product for our Honda Civic. I have been looking for an auto mechanic and this one is the perfect solution.  It's easy to set up, it takes less than 2 minutes before you need to do so. The only thing I don't like about this car is that there are no instructions on how to adjust the speed of the accelerator.  That being said, if you want to turn left or right (or slow down) then go ahead and hit the accelerator button in order to start the car. If you're not going to be able to read the manual by just pressing the &#34;altitude&#34; button at the top of the car will tell you which way you turn depending on where you turn.",NON-GUIDED
Lawn and Garden,"Have had this product for a few years.  It has been very helpful to me that I get compliments on my plants in the garden, as well as others who have commented on it.",NON-GUIDED
Outdoors,"Sadly, the snowfall that came with it was too much for me.  I had to return it and get another one.",GUIDED
Camera,"Have used this for a couple of years and it works great.  I have not had any problems with the camera itself, so if you are looking for an easy way to get your hands dirty or something like that just don't happen.",NON-GUIDED
PC,"Onyx is the best gaming console I've ever owned. The graphics are very good and you can't beat the price. Pros:<br />- Solid build quality, great support for all kinds of games (including Call of Duty)<br />- Dualshock 3D Support<br />- 1080p Video Stabilizer Cons:<br />- You have to go through a lot of manual work to get it to play as many titles as you want!<br />- It's hard to find something that supports multi-monitor support because there aren't any multi-monitor support available on this console. If you're looking for an easy way to do multi-monitor support, PCOnyx will definitely be your choice. The only complaint I have with PCOnyx is they don't offer multi-monitor support at all.",NON-GUIDED
Grocery,"Smallest popcorn I've ever seen.  It tastes so good, but it's not as bad as some of the other flavors. Pros:<br />1) The taste is like real popcorn and 2) You can't go wrong with this flavor.",GUIDED
Automotive,Just what I was looking for in a Jeep Wrangler.  This is the first one that came with my SUV.,GUIDED
Apparel,"Here's the reason why I ordered this: 1. It was a little too large for me, but it is still very well made. 2.",GUIDED
Baby,My 3 year old loves to play with it.,NON-GUIDED
Wireless,Overall good product.  My only complaint is that there are a few minor annoyances with this wireless router.,NON-GUIDED
Books,I bought this book as a gift for my husband and he loves it.,GUIDED
Home,I bought this so I could take a break from it.  It is easy to set up and works well for my laptop.,GUIDED
Home,"This picture is great.  It's very simple and easy to set up.  I've had it for a couple of months now, but the price was right.",GUIDED
Jewelry,"One of my favorite things about this book is that it tells the story of a young man and his mother.  She has always wanted to be with her husband, but when she finally comes home from school he refuses.",GUIDED
Electronics,"I've been using this for a while now and it seems to be working well.  I'm not sure if that's the fault of the battery, but once again there's no problem. The only thing I like about this product is its very long power supply which means you have to plug in some kind of AC adapter or other device (such as an extension cord).  There are several different types of adapters available with varying degrees of difficulty depending on your needs.",NON-GUIDED
Tools,These are excellent.  I use them all the time.,GUIDED
Wireless,"This is a nice product.  It does what it's supposed to do.  I have an iPhone 5S, and the screen protector works well.",GUIDED
Beauty,"Apart from the fact that it is made in China, I was very impressed with this product.",NON-GUIDED
Home Improvement,I had to return this product because it was too expensive.  It cost me about $3 for a new one and I couldn't be more pleased with the quality.,GUIDED
Beauty,my face feels very beautiful.,GUIDED
Toys,"What else can I say? I have been using this toy for a couple of years now and love it.  It is fun to play with toys that are made in China, but not by the U.S.",GUIDED
Sports,"This hatchet was not designed for everyday use.  It is made of metal and doesn't have a handle on it.  I am happy with the purchase. I would recommend this hatchet to anyone looking for a simple, functional hatchet.",GUIDED
Beauty,Via the Amazon page.  It looks great and is very easy to set up.  The only thing I don't like about it is that you have to press a button in order to activate it.,GUIDED
Video DVD,Excellent product for the price.  I bought this to use in a movie theater. I have had no problems with it and will update if any issues are reported.,NON-GUIDED
Home,These far exceeded expectations.  They are very well made and sturdy.  I would highly recommend these to anyone looking for a quality product that will last forever.,GUIDED
Outdoors,"Despite the name, this is a very well made tool.  I use it to cut grass and other areas around the house without damaging anything. I have been using it for about 2 years now with no damage at all.  It has held up pretty well in my yard since being first used as a lawn mower last summer.  The blades are strong enough that they can be removed by hand if necessary.  My only complaint is that there aren't any screws on the sides of the blades so you may want to remove them yourself.  However, once you're done removing the screw from the blade, keep in mind that your hands will not stick out too long or loose.",NON-GUIDED
Books,"Been using this book for over a year now.  I have yet to find out how it works, but if you are interested in learning more about the language and techniques used by some of these authors, feel free to contact me at info@aol.",GUIDED
Outdoors,"Before we got this, I wanted to give it a try.  It's not as rugged as some of the other reviews have mentioned, but you can't beat the price!  This is one of my favorite hiking boots in the world. Pros:<br />- Solid construction and finish<br />- Durable<br />- Looks like real wood<br />- Plenty of room for extra storage<br />- Very comfortable at night<br />- A great value for those who don't want to spend too much on gear that won't last forever<br />- Locks well with strong winds<br />- Feels like real wood<br />- Doesn't feel like real wood<br />- The only complaint I have is that there are times when your hands aren't holding up very well (i.e.",NON-GUIDED
Luggage,"Overall was very good.  The only thing I didn't like about the luggage was that it had a zipper on one side, so you would have to put something in front of it if you are going to be carrying large items (like books or electronics).  It looks nice and has plenty of room for your carry-on luggage. Pros:<br />1) You can store up to two tons of stuff inside this bag without having to worry about getting caught by someone else.<br />2) There's no zippered compartment at all!<br />3) This is an awesome little piece of luggage!<br />4) A great way to keep things organized while being organized as they might be when you want to take them out into the open.",NON-GUIDED
Jewelry,Excellent product.  I am very pleased with the quality of this jewelry.  It is made in China and has a lot of room to store all kinds of jewelry.,NON-GUIDED
PC,Unfortunately this device get caught on the screen.  I have a Samsung Galaxy S4 and it is not compatible with any of my other devices.  It has to be plugged into an external hard drive in order to function.  This device does not work for that purpose.,GUIDED
Luggage,"When I first opened this bag it was a big disappointment.  It had lots of pockets, but there were so many small pockets on the inside that you couldn't see them all. The only thing i didn't like was how long it took to open and close the flap.  The zipper broke after about an hour without any sort of repair or re-tightening.  This is one of those bags where you have to take care of your luggage in order to be able to get things done quickly.  If you are looking for a way to store something as simple as carrying a large suitcase then this may not be the bag for you.  However if you are looking for a way to keep things organized then this might be the bag for you.",NON-GUIDED
Lawn and Garden,"MIne came with a lot of storage space.  The only thing I would like to point out is that the &#34;spots&#34; on the wall are very small, so you can't see them unless you're in direct sunlight or by means of binoculars.",GUIDED
Wireless,"Apart from this, I have been using it for a few months now.  It seems to be working very well and is able to charge my phone at the same time. I am not sure if there are any other wireless charging devices out there that will allow you to charge your phone at the same time without having to worry about wires breaking or getting caught up in an accident.",NON-GUIDED
Home Entertainment,We bought this for our 2 year old to play video games.  She loves it and is very happy with the purchase.,GUIDED
Jewelry,"This is a very good product.  I bought it as a gift for my husband and he loves it.  It has plenty of room to put his clothes on, so you don't have to worry about getting dirty or anything like that. The only reason I didn't give it 5 stars was because the price was too high.  He doesn't seem to be bothered by any issues at all.",NON-GUIDED
Home Improvement,I looked all over the place to find this one.  It arrived within 2 weeks of receiving it.  The only thing I don't like is that there are a few small holes in the middle so you have to be careful not to damage anything.,GUIDED
Home Improvement,"Recently purchased a new home improvement unit.  The unit is very easy to set up and operate. The unit has the following features:<br />1) You can turn it on/off automatically if you want to adjust brightness or other adjustments (e.g., changing light intensity, etc.)<br />2) You can also change the height of the unit by turning the knob on/off so that it doesn't fall off at any point. 3) If you don't know how to use this feature, I would suggest checking with my local hardware store for instructions as well.",NON-GUIDED
Video Games,My 6 year old son is a huge fan of Sword Art Online.,GUIDED
Video DVD,Don't waste your time on this one.  It's a great value if you don't want to spend the money on something else.,NON-GUIDED
Beauty,I'll be buying more.  I'm very pleased with the quality of this product and hope to order more soon.,NON-GUIDED
Baby,"Seriously, this is a cute little mattress.  It's not too big to be sleeping in but it fits nicely on the back of my baby bed. I am 5'2&#34; and weigh 135 lbs so I don't have to worry about anything getting wet or anything! The only reason I didn't give it 5 stars was because there are no instructions for how to get used to it.",NON-GUIDED
Home Improvement,"The product itself is very easy to install.  I have had no problems with it, and the installation instructions are a lot more complex than what you would expect from Home Improvement products.",GUIDED
PC,"I've been using this for about a year now and it works great! It's very easy to set up, the only thing I don't like is that there are no instructions on how to install.  But if you're looking for a quick &#34;plug&#34; way to make your PC run faster or less reliable then this may not be the case.",NON-GUIDED
Watches,What can I say?  This is a very nice watch.  It looks good on my wrist but it's not as big as some of the other watches I've owned.,GUIDED
Luggage,"Rude, this is the best luggage bag I've ever owned.  Very comfortable and easy to carry.",NON-GUIDED
Electronics,"Seriously, this is the best product I've ever used.  It's exactly what I was looking for. I bought it to use with my Samsung Galaxy S4 and have been very happy with it.  The buttons are easy to set up (right click menu) and take a picture of your TV.  My only complaint is that there aren't any instructions on how to turn off the power button so you'll have to go through some manual troubleshooting steps before using them. The sound is great!  You don't have to play music or other electronic sounds in order to be able to get the system hooked up.  This isn't an issue at all but as far as plugging in ethernet cable doesn't bother me either.",NON-GUIDED
Furniture,"The desk is very sturdy and looks nice.  The only thing I would like to change is that it does not come with a screw driver, so you have to remove the screws from the back of the desk.",GUIDED
Video Games,"Got this for my 2 year old son and he loves it.  It is very simple to set up, easy to setup (he doesn't have to go through a lot of hoops).  The only problem I had was that the buttons on the bottom were not centered so they didn't fit perfectly in the middle.",GUIDED
Health & Personal Care,Recently purchased a new mattress for my husband.  He has been sleeping on it all the time with no issues at all.  This mattress is very well made and easy to use.,NON-GUIDED
Lawn and Garden,From time to time we have been using this in our garden for over a year now.  It has held up very well without being too greasy or messy.  The only complaint I have is that the back of the bag doesn't fit into the bottom so it will be difficult to get out if you want to use it on your plants.,NON-GUIDED
Pet Products,"Have 5 cats who love to chew toys.  These are the ones that will gobble up all of them, while keeping their mouths clean.  I've never had any issues with this toy and have been very happy with my purchase.",GUIDED
Grocery,"Rude, this is one of the best Christmas gifts I've ever received.  It's so much easier to put together than in any other gift store I've ever purchased.  The only thing I don't like about it is that you have to go through a lot of hoops to get it done.",NON-GUIDED
Video Games,My brother wanted this for Christmas.  He loved it so much that he went on a limb and gave it to me.,GUIDED
Video Games,excelente el futbol.  I bought this game for my son and he loves it.  It's a great way to play games without having to worry about losing money or getting sick.,GUIDED
Kitchen,"I used this item for a year with no problems.  It is very easy to put together, and the instructions are clear.",GUIDED
Pet Products,It really does not work.  You have to take care of it and you will get a bad experience if you do not use this product.,GUIDED
Luggage,"Excellent briefcase.  It is well made and easy to carry.  The only complaint I have is that the strap on the inside of the case doesn't hold up very well, so if you are carrying a suitcase or something like that, it won't hold up very well.",GUIDED
Sports,"This hatchet was not designed for the waist.  It is made of a very thin material, so you can't really see it from the outside.",GUIDED
Automotive,Have been using for a while now.  I have had no problems with this product.,GUIDED
Home,"They are great!  I bought two of these to replace my old ones.  They fit very well and look just like the picture.  The only thing that bothered me was how long it took for them to snap on. I am not a big fan of Home Improvement products, but this one is so much better than anything else out there in the market.  It does what it says it should do... It's super easy to set up and operate without having to worry about getting lost or losing money.  You don't have to go through all the steps to get your equipment back together before you need to put everything together.  This little tool has been around for more than a year now with no problems whatsoever.",NON-GUIDED
Health & Personal Care,Have had this product for a couple of years and has been very happy with it.  I have tried many different types of products over the years but none were as good or better than what they are now.,NON-GUIDED
Wireless,Often times you have to buy a new one.  This is the only wireless router that I've ever used.,NON-GUIDED
Video Games,I owned several video games before I bought them.  They are great for the first person shooter in their line-up. The game itself is very well developed and highly replayable.,GUIDED
Shoes,"I owned two of these and they fit great.  They are a bit large, but the quality is not as bad as I would have liked.  The only thing that bothered me was how long it took to get them to fit in my front pocket.",GUIDED
PC,"Apart from the fact that they are a little hard to install, I was able to get them installed in about an hour. I would highly recommend this product for anyone looking for something simple and easy to install.",NON-GUIDED
Video DVD,"I'm not a big fan of Blu-Ray discs, but I've been able to get the best out of them.  This is one of my favorite movies ever made. The movie looks great in person and it's very well done You can't go wrong with this film!  It has lots of action scenes that you will never know how many times you saw or heard from other people. There are plenty of good acting as well as some really nice character introductions.  The only complaint I have is that there aren't any special effects for this movie so if you haven't seen it yet, don't hesitate to give it a try...",NON-GUIDED
Home Improvement,The RedGard was a great gift for my daughter. She loved the fact that she could look at it and figure out how to fix it.,GUIDED
Automotive,"Even though I am a car mechanic, it is important to know that you will get what you pay for in the first place. Pros:<br />- Solid finish<br />- Excellent battery life<br />- Plenty of torque<br />Cons:<br />- Doesn't fit on my dash perfectly<br />- Does not hold up very well at all<br />- Isn't easy to remove easily<br />- Will need to put down several screws if needed<br />- Has no way to push hard enough to make things move smoothly<br />- Doesn't come with an auto repair tool (not included)<br />- Don't have any troubleshooting tools available<br />- Doesn't take long to assemble<br />- Takes some getting used to butts out of the box.",NON-GUIDED
Electronics,"They may be a bit hard to find in stores, but they are well worth the money.",GUIDED
Video DVD,"If you are looking for a portable DVD player, this is it.  It's easy to set up and play DVDs from anywhere in the world.  You don't have to worry about getting lost or anything like that.",GUIDED
Health & Personal Care,"Seriously, this product is not for the faint of heart.  It does what it says it should do. It doesn't take much to get rid of your skin and that's exactly what I was looking for. I have a lot of acne scars on my face so I don't know why they would bother me if I didn't clean them up before putting them on as soon as possible.  The only thing I can really complain about is how hard it is to wipe off after using it (which isn't something you typically do when dealing with acne). Overall, I'm very pleased with this product.",NON-GUIDED
